,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,LINE
"
35,1873,GEG,OM,HL,IN,14," O. Dieckhoff,| stud. jur. 
"
36,1873,GEG,OM,HL,IN,15," Dr. G. D ragen Dorff,| Professor der Phar-macie. 
"
37,1873,GEG,OM,HL,IN,16," Dr. I. Engelmann,| Professor des russischen Rechts. 
"
38,1873,GEG,OM,HL,IN,17," Dr. M. v. Engelhardt,| Professor der Wo-tischen Theologie. 
"
39,1873,GEG,OM,HL,IN,18," W. Eisenschmidt,| Pastor an der St. Petri-Gemeinde. 
"
40,1873,GEG,OM,HL,IN,19," G. Elster,| stud. bist. 
"
41,1873,GEG,OM,HL,IN,20," C. Ferrieri.| 
"
42,1873,GEG,OM,HL,IN,21," Th. Gööck,| Director des Gymnasiums. 
"
43,1873,GEG,OM,HL,IN,22," W. Gläser,| Buchdrucker und Verleger. 
"
44,1873,GEG,OM,HL,IN,23," H. E. Hartmann.| 
"
45,1873,GEG,OM,HL,IN,24," Mag. R. Hausmann,| Do:, der Geschichte. 
"
46,1873,GEG,OM,HL,IN,25," Fr. Hollmann,| Seminar-Director. 
"
47,1873,GEG,OM,HL,IN,26," I. W. Jansen,| Redacteur. 
"
48,1873,GEG,OM,HL,IN,27," C. F. Janter.| dim. Pastor. 
"
49,1873,GEG,OM,HL,IN,28," C. Körber,| dim. Pastor. 
"
50,1873,GEG,OM,HL,IN,29," H. Kuchczynski,| stud. bist. 
"
51,1873,GEG,OM,HL,IN,30," Georg Knüpffer,| stud. theol. 
"
52,1873,GEG,OM,HL,IN,31," A. Kurrikoff,| stud. theol. 
"
53,1873,GEG,OM,HL,IN,32," H. Laafmann,| Buchdrucker und Verleger. 
"
54,1873,GEG,OM,HL,IN,33," Cand. I. G. Ludwins,| Coll.«Assessor. 
"
55,1873,GEG,OM,HL,IN,34," C. v. Lanting.| 
"
56,1873,GEG,OM,HL,IN,35," Dr. E. Mattiese «,| Redacteur. 
"
57,1873,GEG,OM,HL,IN,36," I.BaronMaydell -Krüdnershos,|dirn.Kreis-richter. 
"
58,1873,GEG,OM,HL,IN,37," C. von Zur«Mühlen,| Director des Credit-Systems. 
"
59,1873,GEG,OM,HL,IN,38," C. Mickwitz,| Jnspector des Gymnasiums. 
"
60,1873,GEG,OM,HL,IN,39," Dr. Leo Meyer,| Professor der deutschen und vergleichenden Sprachkunde. 
"
61,1873,GEG,OM,HL,IN,40," Dr. Arthur v. Oellingen,| Professor der Physik. 
"
62,1873,GEG,OM,HL,IN,41," C. Paul,| emer. Pastor. 
"
63,1873,GEG,OM,HL,IN,42," T. Peck,| Canzleibeamter des Raths. 
"
64,1873,GEG,OM,HL,IN,43," R. Rech,| Revisor. 
"
65,1873,GEG,OM,HL,IN,44," Dr. Franz Rühl,| Doeent der realen und hi-storischen Altertumswissenschaften. 
"
66,1873,GEG,OM,HL,IN,45," Dr. A. Schrenck.| 
"
67,1873,GEG,OM,HL,IN,46," Dr. AZ. Schultz.| 
"
68,1873,GEG,OM,HL,IN,47," Dr. L. Stieda,| außerordentlicher Professor. 
"
69,1873,GEG,OM,HL,IN,48," Dr. O. Schmidt,| Professor der Jurisprudenz. 
"
70,1873,GEG,OM,HL,IN,49," R. Stillmark,| Obersecretär des Raths. 
"
71,1873,GEG,OM,HL,IN,50," W. Töpffer,| Rathsherr. 
"
72,1873,GEG,OM,HL,IN,51," H. Treffner,| stud. theol. 
"
73,1873,GEG,OM,HL,IN,52," Harald Baron Toll,| stud. jur. 
"
74,1873,GEG,OM,HL,IN,53," Dr. phil. Michael Weske.| 
"
75,1873,GEG,OM,HL,IN,54," A. Wichmann,| stud. jur. 
"
76,1873,GEG,OM,HL,IN,55," A. Willigerode,| Conststorialrath. 
"
77,1873,GEG,OM,HL,IN,56," P. Zilchert,| Bankbeamter. 
"
78,1873,GEG,OM,HL,OUT,57," N. Andersohn,| Oberlehrer am Gymnasium in Minsk. 
"
79,1873,GEG,OM,HL,OUT,58," Fr. Amelung,| Fabrikbesitzer in Woiseck. 
"
80,1873,GEG,OM,HL,OUT,59," C. v. Brasch-Aya,| dim. Landrath. 
"
81,1873,GEG,OM,HL,OUT,60," Dr. A. Ehristiani,| Gen.'Superintendent in Riga. 
"
82,1873,GEG,OM,HL,OUT,61," Georg Cramer,| Gutsbesitzer aufHaakhof bei Narva. 
"
83,1873,GEG,OM,HL,OUT,62," Dr. Fr. Enghoff| in Petersburg. 
"
84,1873,GEG,OM,HL,OUT,63," W. Genbt,| dim. Rathsherr in Narva. 
"
85,1873,GEG,OM,HL,OUT,64," Mag. K. Görtz,| Professor ber Archäologie an der Universität zu Moskau. 
"
86,1873,GEG,OM,HL,OUT,65," W. E. Grohmann,| Pastor zu Torgel. 
"
87,1873,GEG,OM,HL,OUT,66," Mag. H. Graff,| Director der St. Petri-Kir« chenschule in Petersburg. 
"
88,1873,GEG,OM,HL,OUT,67," Dr. I. Girgensohn,| Lehrer am Realgymna-sium in Riga. 
"
89,1873,GEG,OM,HL,OUT,68," H. Hansen,| Chef einer Abtheiluug der Agrar-bank in Petersburg. 
"
90,1873,GEG,OM,HL,OUT,69," Dr. med. Hirsch| in Petersburg. 
"
91,1873,GEG,OM,HL,OUT,70," I. Hurt,| Pastor zu Odenpäh. 
"
92,1873,GEG,OM,HL,OUT,71," A. Jacobson.| Gymnasiallehrer in Petersburg. 
"
93,1873,GEG,OM,HL,OUT,72," W. Jakowlew,| Docent an der Universität Warschau. 
"
94,1873,GEG,OM,HL,OUT,73," I. Köhler.| Professor in Petersburg. 
"
95,1873,GEG,OM,HL,OUT,74," G. Kriegsmann| in Rantzen. 
"
96,1873,GEG,OM,HL,OUT,75," A. Kotljarewski,| Mag., ehemal. Professor der Universität. 
"
97,1873,GEG,OM,HL,OUT,76," Anna Baroness.e Krüdener| in Wolmar. 
"
98,1873,GEG,OM,HL,OUT,77," Victor Baron Laudon| zu Keusen.. 
"
99,1873,GEG,OM,HL,OUT,78," C. LaaUnd,| Pastor in Petersburg. 
"
100,1873,GEG,OM,HL,OUT,79," G. v. Liphart,| dim. Landrath, zu Rathshof. 
"
101,1873,GEG,OM,HL,OUT,80," C. Malm,| Pastor zu Rappel (Estland"
102,1873,GEG,OM,HL,OUT,81," K. Mühlenthal,| Arzt in Neuhausen. 
"
103,1873,GEG,OM,HL,OUT,82," G. Mas ing,| Pastor zu Neuhausen. 
"
104,1873,GEG,OM,HL,OUT,83," I. Masing,| Pastor zu Rappin. 
"
105,1873,GEG,OM,HL,OUT,84," C. Oehrn.| Pastor zu Wenva». 
"
106,1873,GEG,OM,HL,OUT,85," G. v. Pfeisfer| in Alt Pigast. 
"
107,1873,GEG,OM,HL,OUT,86," C. Pöd der,| Buchhalter in Moskau. x 
"
108,1873,GEG,OM,HL,OUT,87," G. Rosenpflanzer,| Oberverw. in Rathshof. 
"
109,1873,GEG,OM,HL,OUT,88," C. v. Sengbusch-Launekalln| in Riga. 
"
110,1873,GEG,OM,HL,OUT,89," Jegor v. Sivers,| Professor der Landwirth» schast am Polytechnikum in Riga. 
"
111,1873,GEG,OM,HL,OUT,90," Carl Graf SieverS| in Wenden. 
"
112,1873,GEG,OM,HL,OUT,91," Carl Stein,| Pastor in Antzen. 
"
113,1873,GEG,OM,HL,OUT,92," C. Toepffer,| Pastor zu Talkhof. 
"
114,1873,GEG,OM,HL,OUT,93," Alexis Graf Uwarow,| Kammerherr, Prä-sident der archäologischen Gesellschaft in Moskau. 
"
115,1873,GEG,OM,HL,OUT,94," Nicolai v. Wahl| in Pajus. 
"
116,1873,GEG,OM,AB,,95," Dr. A. Schmiedeberg,| Professor der Phar-makologie in Straßburg i. E. 
"
117,1873,GEG,CM,HL,,1," Dr. A. Ahlquist,| Professor der finnischen Sprache in Helsingsors. 
"
118,1873,GEG,CM,HL,,2," Jul. Bergmann,| dim. Lehrer des Tulaschen Cadettencorps, Coll.-Rath., in Mitau. 
"
119,1873,GEG,CM,HL,,3," Cand. Friedrich Bienemann,| Oberlehrer an der Domschule zu Reval. 
"
120,1873,GEG,CM,HL,,4," Dr. A. Donner| in Helfingfors. 
"
121,1873,GEG,CM,HL,,5," H. Diederichs,| Oberlehrer in Mitau. 
"
122,1873,GEG,CM,HL,,6," Dr. O. Duhmberg| in Barnaul. 
"
123,1873,GEG,CM,HL,,7," Dr. I. Gorloff,| Professor der politischen Oekonomie in Petersburg. 
"
124,1873,GEG,CM,HL,,8," Dr. L. Gahlnbäck,| Schuldirector in Reval. 
"
125,1873,GEG,CM,HL,,9," H. Holzmayer.| Oberlehrer in Arensburg. 
"
126,1873,GEG,CM,HL,,10," M. Jürgens,| Buchbinder in Pernau. 
"
127,1873,GEG,CM,HL,,11," Dr. B. Köhne,| wirkl. St.-Rath, in Petersburg. 
"
128,1873,GEG,CM,HL,,12," M. Kauzmann,| Past. emer. 
"
129,1873,GEG,CM,HL,,13," M. Körber,| Pastor zu Anseküll. 
"
130,1873,GEG,CM,HL,,14," I. Laosson.| Lehrer in Tarwast. 
"
131,1873,GEG,CM,HL,,15," Dr. Ferdinand Löwe,| Coll.-Ass., in Reval. 
"
132,1873,GEG,CM,HL,,16," Johann Mielberg.| 
"
133,1873,GEG,CM,HL,,17," I. Nocks,| Schuldirector-Gehilfe in Reval. 
"
134,1873,GEG,CM,HL,,18," Dr. Radloff,| Inspektor der tatarischen Schu-len in Kasan. 
"
135,1873,GEG,CM,HL,,19," C. Rußwurm,| dim. Schulinspector in Reval. 
"
136,1873,GEG,CM,HL,,20," A. Schiefner,| Akademiker in Petersburg. 
"
137,1873,GEG,CM,HL,,21," Mag. Fr. Schmidt| in Petersburg. 
"
138,1873,GEG,CM,HL,,22," Dr. Th. Struve,| Director des Gymnasium des pädagogischen Instituts in Petersburg. 
"
139,1873,GEG,CM,HL,,23," H. Wühner,| Küster in Tarwast. 
"
140,1873,GEG,CM,AB,,24," Dr. I. Altmann| in Berlin. 
"
141,1873,GEG,CM,AB,,25," Dr. Jul. Budenz,| Bibliothekar in Pest. 
"
142,1873,GEG,CM,AB,,26," Dr. H. von der Gabelentz,| Geheimrath, in Altenburg. 
"
143,1873,GEG,CM,AB,,27," L. Haan,| evang. Pastor in Bekes Czaba in Ungarn. 
"
144,1873,GEG,CM,AB,,28," Carl Hernmark,| Canzlei.Director des Ju-stizministerium in Stockholm. 
"
145,1873,GEG,CM,AB,,29," Dr. C. Höhlbaum| in Göttingen. 
"
146,1873,GEG,CM,AB,,30," Cand. E. Kluge| in Altona. 
"
147,1873,GEG,CM,AB,,31," Dr. Kohl.| Stadt-Bibliothekar in Bremen. 
"
148,1873,GEG,CM,AB,,32," Dr. F. Lundberg,| Professor der Vetr.-Medi-ein in Stockholm. 
"
149,1873,GEG,CM,AB,,33," Dr. C.Lohm e y e r,| Privatdocent in Königsberg. 
"
150,1873,GEG,CM,AB,,34," Dr. W. Mannhardt,| Professor in Danzig. 
"
151,1873,GEG,CM,AB,,35," Dr. Th. Nöldeke,| Professor der orientalischen Sprachen in Straßburg t. E. 
"
152,1873,GEG,CM,AB,,36," Dr. O. Schade.| Professor in Königsberg i.Pr. 
"
